Case : 100, Assigments : 8022, Comparisons : 4947
Case : 200, Assigments : 30342, Comparisons : 19647
Case : 300, Assigments : 68652, Comparisons : 44574
Case : 400, Assigments : 122496, Comparisons : 79779
Case : 500, Assigments : 188994, Comparisons : 124659
Case : 600, Assigments : 270498, Comparisons : 179609
Case : 700, Assigments : 373974, Comparisons : 244572
Case : 800, Assigments : 479391, Comparisons : 318739
Case : 900, Assigments : 620508, Comparisons : 403119
Case : 1000, Assigments : 763521, Comparisons : 496260
Case : 1100, Assigments : 898050, Comparisons : 603547
Case : 1200, Assigments : 1087890, Comparisons : 718734
Case : 1300, Assigments : 1286727, Comparisons : 843024
Case : 1400, Assigments : 1450854, Comparisons : 978124
Case : 1500, Assigments : 1664421, Comparisons : 1123689
Case : 1600, Assigments : 1933065, Comparisons : 1279080
Case : 1700, Assigments : 2180649, Comparisons : 1441735
Case : 1800, Assigments : 2392995, Comparisons : 1618890
Case : 1900, Assigments : 2753070, Comparisons : 1802220
Case : 2000, Assigments : 3040398, Comparisons : 1996299
Case : 2100, Assigments : 3306912, Comparisons : 2203247
Case : 2200, Assigments : 3760506, Comparisons : 2418305
Case : 2300, Assigments : 3881760, Comparisons : 2642769
Case : 2400, Assigments : 4384146, Comparisons : 2878709
Case : 2500, Assigments : 4638483, Comparisons : 3119285
Case : 2600, Assigments : 5174256, Comparisons : 3378070
Case : 2700, Assigments : 5570415, Comparisons : 3641165
Case : 2800, Assigments : 6002943, Comparisons : 3915750
Case : 2900, Assigments : 6436776, Comparisons : 4199895
Case : 3000, Assigments : 6934893, Comparisons : 4494672
Case : 3100, Assigments : 7241055, Comparisons : 4799964
Case : 3200, Assigments : 7746543, Comparisons : 5116630
Case : 3300, Assigments : 8481060, Comparisons : 5442684
Case : 3400, Assigments : 8541774, Comparisons : 5777025
Case : 3500, Assigments : 9340986, Comparisons : 6120010
Case : 3600, Assigments : 9771612, Comparisons : 6476925
Case : 3700, Assigments : 10306236, Comparisons : 6840375
Case : 3800, Assigments : 10985076, Comparisons : 7214445
Case : 3900, Assigments : 11484063, Comparisons : 7598679
Case : 4000, Assigments : 12174297, Comparisons : 7997790
Case : 4100, Assigments : 12708813, Comparisons : 8402760
Case : 4200, Assigments : 13454856, Comparisons : 8817522
Case : 4300, Assigments : 13827753, Comparisons : 9242147
Case : 4400, Assigments : 14584524, Comparisons : 9676980
Case : 4500, Assigments : 15072003, Comparisons : 10117997
Case : 4600, Assigments : 16137456, Comparisons : 10576959
Case : 4700, Assigments : 16847709, Comparisons : 11034900
Case : 4800, Assigments : 17534145, Comparisons : 11517222
Case : 4900, Assigments : 18147861, Comparisons : 11999547
Case : 5000, Assigments : 18733044, Comparisons : 12495015
Case : 5100, Assigments : 19559010, Comparisons : 12991572
Case : 5200, Assigments : 20391474, Comparisons : 13512840
Case : 5300, Assigments : 21502896, Comparisons : 14040580
Case : 5400, Assigments : 21874722, Comparisons : 14574525
Case : 5500, Assigments : 22910874, Comparisons : 15095915
Case : 5600, Assigments : 23920680, Comparisons : 15674499
Case : 5700, Assigments : 24705663, Comparisons : 16238747
Case : 5800, Assigments : 25712568, Comparisons : 16816665
Case : 5900, Assigments : 26342058, Comparisons : 17396694
Case : 6000, Assigments : 27436974, Comparisons : 17996985
Case : 6100, Assigments : 28243332, Comparisons : 18598295
Case : 6200, Assigments : 28733289, Comparisons : 19215070
Case : 6300, Assigments : 30511851, Comparisons : 19835180
Case : 6400, Assigments : 31170084, Comparisons : 20473059
Case : 6500, Assigments : 32625804, Comparisons : 21102444
Case : 6600, Assigments : 33067350, Comparisons : 21758934
Case : 6700, Assigments : 34132779, Comparisons : 22428447
Case : 6800, Assigments : 35497221, Comparisons : 23115115
Case : 6900, Assigments : 35893308, Comparisons : 23787522
Case : 7000, Assigments : 37459938, Comparisons : 24474555
Case : 7100, Assigments : 38572518, Comparisons : 25201219
Case : 7200, Assigments : 39579675, Comparisons : 25916280
Case : 7300, Assigments : 40467774, Comparisons : 26632835
Case : 7400, Assigments : 42044421, Comparisons : 27375354
Case : 7500, Assigments : 43098975, Comparisons : 28119480
Case : 7600, Assigments : 43930917, Comparisons : 28875924
Case : 7700, Assigments : 44624142, Comparisons : 29640484
Case : 7800, Assigments : 45720105, Comparisons : 30414270
Case : 7900, Assigments : 47726601, Comparisons : 31190024
Case : 8000, Assigments : 48618591, Comparisons : 31994569
Case : 8100, Assigments : 49904859, Comparisons : 32799675
Case : 8200, Assigments : 51035976, Comparisons : 33602697
Case : 8300, Assigments : 52414698, Comparisons : 34437109
Case : 8400, Assigments : 54195219, Comparisons : 35267285
Case : 8500, Assigments : 55391832, Comparisons : 36093489
Case : 8600, Assigments : 56397600, Comparisons : 36971422
Case : 8700, Assigments : 57313728, Comparisons : 37815897
Case : 8800, Assigments : 59387847, Comparisons : 38708579
Case : 8900, Assigments : 60150564, Comparisons : 39594985
Case : 9000, Assigments : 61647900, Comparisons : 40483872
Case : 9100, Assigments : 63569232, Comparisons : 41389719
Case : 9200, Assigments : 64626807, Comparisons : 42314074
Case : 9300, Assigments : 66167277, Comparisons : 43220649
Case : 9400, Assigments : 67537392, Comparisons : 44158829
Case : 9500, Assigments : 69187749, Comparisons : 45119655
Case : 9600, Assigments : 70003767, Comparisons : 46068530
Case : 9700, Assigments : 71789832, Comparisons : 47024925
Case : 9800, Assigments : 73521663, Comparisons : 48013447
Case : 9900, Assigments : 75421173, Comparisons : 48993495
Case : 10000, Assigments : 76995183, Comparisons : 49989114
