Case : 100, Assigments : 1437, Comparisons : 1024
Case : 200, Assigments : 3525, Comparisons : 2455
Case : 300, Assigments : 5754, Comparisons : 4029
Case : 400, Assigments : 8133, Comparisons : 5701
Case : 500, Assigments : 10545, Comparisons : 7382
Case : 600, Assigments : 13245, Comparisons : 9252
Case : 700, Assigments : 15954, Comparisons : 11118
Case : 800, Assigments : 18693, Comparisons : 12985
Case : 900, Assigments : 21402, Comparisons : 14904
Case : 1000, Assigments : 24282, Comparisons : 16845
Case : 1100, Assigments : 27132, Comparisons : 18863
Case : 1200, Assigments : 30066, Comparisons : 20881
Case : 1300, Assigments : 32943, Comparisons : 22896
Case : 1400, Assigments : 35940, Comparisons : 24967
Case : 1500, Assigments : 39171, Comparisons : 27127
Case : 1600, Assigments : 42309, Comparisons : 29257
Case : 1700, Assigments : 45105, Comparisons : 31282
Case : 1800, Assigments : 48387, Comparisons : 33505
Case : 1900, Assigments : 51531, Comparisons : 35636
Case : 2000, Assigments : 54297, Comparisons : 37695
Case : 2100, Assigments : 57705, Comparisons : 39947
Case : 2200, Assigments : 60885, Comparisons : 42091
Case : 2300, Assigments : 64200, Comparisons : 44388
Case : 2400, Assigments : 67356, Comparisons : 46529
Case : 2500, Assigments : 70644, Comparisons : 48809
Case : 2600, Assigments : 73929, Comparisons : 51115
Case : 2700, Assigments : 77154, Comparisons : 53383
Case : 2800, Assigments : 80490, Comparisons : 55664
Case : 2900, Assigments : 83751, Comparisons : 57955
Case : 3000, Assigments : 87078, Comparisons : 60192
Case : 3100, Assigments : 90474, Comparisons : 62504
Case : 3200, Assigments : 94218, Comparisons : 64945
Case : 3300, Assigments : 97305, Comparisons : 67202
Case : 3400, Assigments : 100569, Comparisons : 69428
Case : 3500, Assigments : 104220, Comparisons : 71863
Case : 3600, Assigments : 107433, Comparisons : 74126
Case : 3700, Assigments : 110787, Comparisons : 76439
Case : 3800, Assigments : 114108, Comparisons : 78760
Case : 3900, Assigments : 117645, Comparisons : 81178
Case : 4000, Assigments : 121011, Comparisons : 83464
Case : 4100, Assigments : 124137, Comparisons : 85709
Case : 4200, Assigments : 127929, Comparisons : 88214
Case : 4300, Assigments : 131247, Comparisons : 90510
Case : 4400, Assigments : 135027, Comparisons : 93093
Case : 4500, Assigments : 138414, Comparisons : 95466
Case : 4600, Assigments : 141909, Comparisons : 97909
Case : 4700, Assigments : 145788, Comparisons : 100396
Case : 4800, Assigments : 149328, Comparisons : 102882
Case : 4900, Assigments : 152844, Comparisons : 105307
Case : 5000, Assigments : 156387, Comparisons : 107745
Case : 5100, Assigments : 159750, Comparisons : 110072
Case : 5200, Assigments : 163470, Comparisons : 112636
Case : 5300, Assigments : 166938, Comparisons : 114969
Case : 5400, Assigments : 170724, Comparisons : 117560
Case : 5500, Assigments : 174471, Comparisons : 120089
Case : 5600, Assigments : 177864, Comparisons : 122501
Case : 5700, Assigments : 181869, Comparisons : 125171
Case : 5800, Assigments : 185079, Comparisons : 127466
Case : 5900, Assigments : 188889, Comparisons : 130102
Case : 6000, Assigments : 192522, Comparisons : 132407
Case : 6100, Assigments : 196071, Comparisons : 135057
Case : 6200, Assigments : 199521, Comparisons : 137477
Case : 6300, Assigments : 203439, Comparisons : 139940
Case : 6400, Assigments : 206811, Comparisons : 142412
Case : 6500, Assigments : 210627, Comparisons : 145046
Case : 6600, Assigments : 214260, Comparisons : 147508
Case : 6700, Assigments : 218172, Comparisons : 150139
Case : 6800, Assigments : 221808, Comparisons : 152604
Case : 6900, Assigments : 225234, Comparisons : 155036
Case : 7000, Assigments : 228939, Comparisons : 157473
Case : 7100, Assigments : 232833, Comparisons : 160119
Case : 7200, Assigments : 236589, Comparisons : 162676
Case : 7300, Assigments : 240300, Comparisons : 165274
Case : 7400, Assigments : 243588, Comparisons : 167597
Case : 7500, Assigments : 247566, Comparisons : 170269
Case : 7600, Assigments : 251289, Comparisons : 172817
Case : 7700, Assigments : 254715, Comparisons : 175263
Case : 7800, Assigments : 258195, Comparisons : 177641
Case : 7900, Assigments : 262035, Comparisons : 180304
Case : 8000, Assigments : 265788, Comparisons : 182831
Case : 8100, Assigments : 269340, Comparisons : 185365
Case : 8200, Assigments : 273252, Comparisons : 187918
Case : 8300, Assigments : 277119, Comparisons : 190607
Case : 8400, Assigments : 281385, Comparisons : 193349
Case : 8500, Assigments : 284739, Comparisons : 195873
Case : 8600, Assigments : 288450, Comparisons : 198423
Case : 8700, Assigments : 292377, Comparisons : 201065
Case : 8800, Assigments : 296112, Comparisons : 203733
Case : 8900, Assigments : 299865, Comparisons : 206254
Case : 9000, Assigments : 303612, Comparisons : 208794
Case : 9100, Assigments : 307593, Comparisons : 211478
Case : 9200, Assigments : 311580, Comparisons : 214214
Case : 9300, Assigments : 315738, Comparisons : 216972
Case : 9400, Assigments : 319455, Comparisons : 219563
Case : 9500, Assigments : 323154, Comparisons : 222156
Case : 9600, Assigments : 327093, Comparisons : 224846
Case : 9700, Assigments : 330963, Comparisons : 227431
Case : 9800, Assigments : 335115, Comparisons : 230193
Case : 9900, Assigments : 338790, Comparisons : 232769
Case : 10000, Assigments : 342543, Comparisons : 235345
