Case : 100, Assigments : 2563, Comparisons : 2365
Case : 200, Assigments : 10149, Comparisons : 9751
Case : 300, Assigments : 22772, Comparisons : 22174
Case : 400, Assigments : 40634, Comparisons : 39836
Case : 500, Assigments : 62530, Comparisons : 61532
Case : 600, Assigments : 92916, Comparisons : 91718
Case : 700, Assigments : 126037, Comparisons : 124639
Case : 800, Assigments : 160370, Comparisons : 158772
Case : 900, Assigments : 198169, Comparisons : 196371
Case : 1000, Assigments : 255972, Comparisons : 253974
Case : 1100, Assigments : 314650, Comparisons : 312452
Case : 1200, Assigments : 361163, Comparisons : 358765
Case : 1300, Assigments : 429391, Comparisons : 426793
Case : 1400, Assigments : 477637, Comparisons : 474839
Case : 1500, Assigments : 562934, Comparisons : 559936
Case : 1600, Assigments : 654422, Comparisons : 651224
Case : 1700, Assigments : 730004, Comparisons : 726606
Case : 1800, Assigments : 799711, Comparisons : 796113
Case : 1900, Assigments : 873420, Comparisons : 869622
Case : 2000, Assigments : 999117, Comparisons : 995119
Case : 2100, Assigments : 1119088, Comparisons : 1114890
Case : 2200, Assigments : 1211735, Comparisons : 1207337
Case : 2300, Assigments : 1345955, Comparisons : 1341357
Case : 2400, Assigments : 1481119, Comparisons : 1476321
Case : 2500, Assigments : 1550946, Comparisons : 1545948
Case : 2600, Assigments : 1732526, Comparisons : 1727328
Case : 2700, Assigments : 1790043, Comparisons : 1784645
Case : 2800, Assigments : 1968778, Comparisons : 1963180
Case : 2900, Assigments : 2119934, Comparisons : 2114136
Case : 3000, Assigments : 2292374, Comparisons : 2286376
Case : 3100, Assigments : 2433391, Comparisons : 2427193
Case : 3200, Assigments : 2569942, Comparisons : 2563544
Case : 3300, Assigments : 2732042, Comparisons : 2725444
Case : 3400, Assigments : 2976686, Comparisons : 2969888
Case : 3500, Assigments : 3127492, Comparisons : 3120494
Case : 3600, Assigments : 3251578, Comparisons : 3244380
Case : 3700, Assigments : 3551268, Comparisons : 3543870
Case : 3800, Assigments : 3676118, Comparisons : 3668520
Case : 3900, Assigments : 3875850, Comparisons : 3868052
Case : 4000, Assigments : 3985007, Comparisons : 3977009
Case : 4100, Assigments : 4260494, Comparisons : 4252296
Case : 4200, Assigments : 4451913, Comparisons : 4443515
Case : 4300, Assigments : 4574288, Comparisons : 4565690
Case : 4400, Assigments : 4794787, Comparisons : 4785989
Case : 4500, Assigments : 4973816, Comparisons : 4964818
Case : 4600, Assigments : 5395154, Comparisons : 5385956
Case : 4700, Assigments : 5529137, Comparisons : 5519739
Case : 4800, Assigments : 5816504, Comparisons : 5806906
Case : 4900, Assigments : 6095172, Comparisons : 6085374
Case : 5000, Assigments : 6330344, Comparisons : 6320346
Case : 5100, Assigments : 6594043, Comparisons : 6583845
Case : 5200, Assigments : 6796063, Comparisons : 6785665
Case : 5300, Assigments : 7131695, Comparisons : 7121097
Case : 5400, Assigments : 7280689, Comparisons : 7269891
Case : 5500, Assigments : 7736307, Comparisons : 7725309
Case : 5600, Assigments : 7963722, Comparisons : 7952524
Case : 5700, Assigments : 8192834, Comparisons : 8181436
Case : 5800, Assigments : 8487199, Comparisons : 8475601
Case : 5900, Assigments : 8698510, Comparisons : 8686712
Case : 6000, Assigments : 9095571, Comparisons : 9083573
Case : 6100, Assigments : 9345542, Comparisons : 9333344
Case : 6200, Assigments : 9807671, Comparisons : 9795273
Case : 6300, Assigments : 10059612, Comparisons : 10047014
Case : 6400, Assigments : 10343655, Comparisons : 10330857
Case : 6500, Assigments : 10684958, Comparisons : 10671960
Case : 6600, Assigments : 10979190, Comparisons : 10965992
Case : 6700, Assigments : 11433351, Comparisons : 11419953
Case : 6800, Assigments : 11805120, Comparisons : 11791522
Case : 6900, Assigments : 12113250, Comparisons : 12099452
Case : 7000, Assigments : 12501264, Comparisons : 12487266
Case : 7100, Assigments : 12779813, Comparisons : 12765615
Case : 7200, Assigments : 12851428, Comparisons : 12837030
Case : 7300, Assigments : 13498496, Comparisons : 13483898
Case : 7400, Assigments : 13914271, Comparisons : 13899473
Case : 7500, Assigments : 14119985, Comparisons : 14104987
Case : 7600, Assigments : 14811322, Comparisons : 14796124
Case : 7700, Assigments : 15071106, Comparisons : 15055708
Case : 7800, Assigments : 15369785, Comparisons : 15354187
Case : 7900, Assigments : 15723315, Comparisons : 15707517
Case : 8000, Assigments : 16116149, Comparisons : 16100151
Case : 8100, Assigments : 16471403, Comparisons : 16455205
Case : 8200, Assigments : 17156055, Comparisons : 17139657
Case : 8300, Assigments : 17402813, Comparisons : 17386215
Case : 8400, Assigments : 17763091, Comparisons : 17746293
Case : 8500, Assigments : 18236100, Comparisons : 18219102
Case : 8600, Assigments : 18556777, Comparisons : 18539579
Case : 8700, Assigments : 19447253, Comparisons : 19429855
Case : 8800, Assigments : 19721404, Comparisons : 19703806
Case : 8900, Assigments : 20089169, Comparisons : 20071371
Case : 9000, Assigments : 20723677, Comparisons : 20705679
Case : 9100, Assigments : 21270727, Comparisons : 21252529
Case : 9200, Assigments : 21612479, Comparisons : 21594081
Case : 9300, Assigments : 21977252, Comparisons : 21958654
Case : 9400, Assigments : 22770439, Comparisons : 22751641
Case : 9500, Assigments : 23014804, Comparisons : 22995806
Case : 9600, Assigments : 23433350, Comparisons : 23414152
Case : 9700, Assigments : 23978724, Comparisons : 23959326
Case : 9800, Assigments : 24623153, Comparisons : 24603555
Case : 9900, Assigments : 24947593, Comparisons : 24927795
Case : 10000, Assigments : 25403381, Comparisons : 25383383
