Case : 100, Assigments : 285, Comparisons : 4950
Case : 200, Assigments : 585, Comparisons : 19900
Case : 300, Assigments : 891, Comparisons : 44850
Case : 400, Assigments : 1176, Comparisons : 79800
Case : 500, Assigments : 1476, Comparisons : 124750
Case : 600, Assigments : 1776, Comparisons : 179700
Case : 700, Assigments : 2094, Comparisons : 244650
Case : 800, Assigments : 2388, Comparisons : 319600
Case : 900, Assigments : 2670, Comparisons : 404550
Case : 1000, Assigments : 2988, Comparisons : 499500
Case : 1100, Assigments : 3264, Comparisons : 604450
Case : 1200, Assigments : 3558, Comparisons : 719400
Case : 1300, Assigments : 3879, Comparisons : 844350
Case : 1400, Assigments : 4185, Comparisons : 979300
Case : 1500, Assigments : 4473, Comparisons : 1124250
Case : 1600, Assigments : 4782, Comparisons : 1279200
Case : 1700, Assigments : 5085, Comparisons : 1444150
Case : 1800, Assigments : 5385, Comparisons : 1619100
Case : 1900, Assigments : 5682, Comparisons : 1804050
Case : 2000, Assigments : 5973, Comparisons : 1999000
Case : 2100, Assigments : 6270, Comparisons : 2203950
Case : 2200, Assigments : 6561, Comparisons : 2418900
Case : 2300, Assigments : 6879, Comparisons : 2643850
Case : 2400, Assigments : 7182, Comparisons : 2878800
Case : 2500, Assigments : 7473, Comparisons : 3123750
Case : 2600, Assigments : 7764, Comparisons : 3378700
Case : 2700, Assigments : 8070, Comparisons : 3643650
Case : 2800, Assigments : 8370, Comparisons : 3918600
Case : 2900, Assigments : 8664, Comparisons : 4203550
Case : 3000, Assigments : 8979, Comparisons : 4498500
Case : 3100, Assigments : 9276, Comparisons : 4803450
Case : 3200, Assigments : 9582, Comparisons : 5118400
Case : 3300, Assigments : 9882, Comparisons : 5443350
Case : 3400, Assigments : 10176, Comparisons : 5778300
Case : 3500, Assigments : 10476, Comparisons : 6123250
Case : 3600, Assigments : 10770, Comparisons : 6478200
Case : 3700, Assigments : 11070, Comparisons : 6843150
Case : 3800, Assigments : 11373, Comparisons : 7218100
Case : 3900, Assigments : 11670, Comparisons : 7603050
Case : 4000, Assigments : 11964, Comparisons : 7998000
Case : 4100, Assigments : 12279, Comparisons : 8402950
Case : 4200, Assigments : 12579, Comparisons : 8817900
Case : 4300, Assigments : 12882, Comparisons : 9242850
Case : 4400, Assigments : 13176, Comparisons : 9677800
Case : 4500, Assigments : 13473, Comparisons : 10122750
Case : 4600, Assigments : 13767, Comparisons : 10577700
Case : 4700, Assigments : 14079, Comparisons : 11042650
Case : 4800, Assigments : 14385, Comparisons : 11517600
Case : 4900, Assigments : 14679, Comparisons : 12002550
Case : 5000, Assigments : 14976, Comparisons : 12497500
Case : 5100, Assigments : 15273, Comparisons : 13002450
Case : 5200, Assigments : 15570, Comparisons : 13517400
Case : 5300, Assigments : 15858, Comparisons : 14042350
Case : 5400, Assigments : 16176, Comparisons : 14577300
Case : 5500, Assigments : 16482, Comparisons : 15122250
Case : 5600, Assigments : 16782, Comparisons : 15677200
Case : 5700, Assigments : 17082, Comparisons : 16242150
Case : 5800, Assigments : 17379, Comparisons : 16817100
Case : 5900, Assigments : 17667, Comparisons : 17402050
Case : 6000, Assigments : 17964, Comparisons : 17997000
Case : 6100, Assigments : 18279, Comparisons : 18601950
Case : 6200, Assigments : 18567, Comparisons : 19216900
Case : 6300, Assigments : 18867, Comparisons : 19841850
Case : 6400, Assigments : 19170, Comparisons : 20476800
Case : 6500, Assigments : 19488, Comparisons : 21121750
Case : 6600, Assigments : 19773, Comparisons : 21776700
Case : 6700, Assigments : 20058, Comparisons : 22441650
Case : 6800, Assigments : 20361, Comparisons : 23116600
Case : 6900, Assigments : 20667, Comparisons : 23801550
Case : 7000, Assigments : 20976, Comparisons : 24496500
Case : 7100, Assigments : 21276, Comparisons : 25201450
Case : 7200, Assigments : 21570, Comparisons : 25916400
Case : 7300, Assigments : 21870, Comparisons : 26641350
Case : 7400, Assigments : 22170, Comparisons : 27376300
Case : 7500, Assigments : 22470, Comparisons : 28121250
Case : 7600, Assigments : 22776, Comparisons : 28876200
Case : 7700, Assigments : 23076, Comparisons : 29641150
Case : 7800, Assigments : 23364, Comparisons : 30416100
Case : 7900, Assigments : 23679, Comparisons : 31201050
Case : 8000, Assigments : 23973, Comparisons : 31996000
Case : 8100, Assigments : 24273, Comparisons : 32800950
Case : 8200, Assigments : 24561, Comparisons : 33615900
Case : 8300, Assigments : 24876, Comparisons : 34440850
Case : 8400, Assigments : 25185, Comparisons : 35275800
Case : 8500, Assigments : 25482, Comparisons : 36120750
Case : 8600, Assigments : 25770, Comparisons : 36975700
Case : 8700, Assigments : 26082, Comparisons : 37840650
Case : 8800, Assigments : 26364, Comparisons : 38715600
Case : 8900, Assigments : 26667, Comparisons : 39600550
Case : 9000, Assigments : 26961, Comparisons : 40495500
Case : 9100, Assigments : 27273, Comparisons : 41400450
Case : 9200, Assigments : 27567, Comparisons : 42315400
Case : 9300, Assigments : 27870, Comparisons : 43240350
Case : 9400, Assigments : 28170, Comparisons : 44175300
Case : 9500, Assigments : 28461, Comparisons : 45120250
Case : 9600, Assigments : 28779, Comparisons : 46075200
Case : 9700, Assigments : 29085, Comparisons : 47040150
Case : 9800, Assigments : 29370, Comparisons : 48015100
Case : 9900, Assigments : 29670, Comparisons : 49000050
Case : 10000, Assigments : 29982, Comparisons : 49995000
