Case : 100, Assigments : 7737, Comparisons : 4859
Case : 200, Assigments : 29322, Comparisons : 19690
Case : 300, Assigments : 71583, Comparisons : 44472
Case : 400, Assigments : 115665, Comparisons : 79610
Case : 500, Assigments : 188448, Comparisons : 124614
Case : 600, Assigments : 270192, Comparisons : 179622
Case : 700, Assigments : 373731, Comparisons : 244350
Case : 800, Assigments : 500931, Comparisons : 319104
Case : 900, Assigments : 595626, Comparisons : 404505
Case : 1000, Assigments : 774321, Comparisons : 498174
Case : 1100, Assigments : 945915, Comparisons : 604447
Case : 1200, Assigments : 1082511, Comparisons : 719372
Case : 1300, Assigments : 1266453, Comparisons : 840864
Case : 1400, Assigments : 1508745, Comparisons : 976450
Case : 1500, Assigments : 1681875, Comparisons : 1123722
Case : 1600, Assigments : 1889478, Comparisons : 1275630
Case : 1800, Assigments : 2392776, Comparisons : 1618539
Case : 1900, Assigments : 2668188, Comparisons : 1798379
Case : 2000, Assigments : 3077772, Comparisons : 1991619
Case : 2100, Assigments : 3301884, Comparisons : 2203284
Case : 2200, Assigments : 3637365, Comparisons : 2418435
Case : 2300, Assigments : 3868593, Comparisons : 2643499
Case : 2400, Assigments : 4368003, Comparisons : 2865105
Case : 2500, Assigments : 4691697, Comparisons : 3114020
Case : 2600, Assigments : 5093196, Comparisons : 3376285
Case : 2700, Assigments : 5373588, Comparisons : 3643572
Case : 2800, Assigments : 5968926, Comparisons : 3917970
Case : 2900, Assigments : 6342114, Comparisons : 4198894
Case : 3000, Assigments : 6744285, Comparisons : 4495419
Case : 3100, Assigments : 7267740, Comparisons : 4801680
Case : 3200, Assigments : 7716108, Comparisons : 5116509
Case : 3300, Assigments : 8321961, Comparisons : 5435724
Case : 3500, Assigments : 9215145, Comparisons : 6115747
Case : 3600, Assigments : 9788730, Comparisons : 6477947
Case : 3700, Assigments : 10282965, Comparisons : 6841005
Case : 3800, Assigments : 10789917, Comparisons : 7214445
Case : 3900, Assigments : 11441199, Comparisons : 7598864
Case : 4000, Assigments : 12211743, Comparisons : 7994345
Case : 4100, Assigments : 13007694, Comparisons : 8400249
Case : 4200, Assigments : 13192335, Comparisons : 8799179
Case : 4300, Assigments : 14236125, Comparisons : 9238097
Case : 4400, Assigments : 14684154, Comparisons : 9677394
Case : 4500, Assigments : 15102816, Comparisons : 10119429
Case : 4600, Assigments : 16102518, Comparisons : 10572650
Case : 4700, Assigments : 16845213, Comparisons : 11041474
Case : 4800, Assigments : 17583396, Comparisons : 11511605
Case : 4900, Assigments : 17876205, Comparisons : 12000204
Case : 5000, Assigments : 18767490, Comparisons : 12488455
Case : 5200, Assigments : 20489262, Comparisons : 13510140
Case : 5300, Assigments : 21097383, Comparisons : 14035680
Case : 5400, Assigments : 22117215, Comparisons : 14576439
Case : 5500, Assigments : 23170509, Comparisons : 15113994
Case : 5600, Assigments : 23699970, Comparisons : 15674922
Case : 5700, Assigments : 24722745, Comparisons : 16238829
Case : 5800, Assigments : 25326477, Comparisons : 16815972
Case : 5900, Assigments : 26167476, Comparisons : 17389170
Case : 6000, Assigments : 27453771, Comparisons : 17991849
Case : 6100, Assigments : 27682830, Comparisons : 18600120
Case : 6200, Assigments : 29373732, Comparisons : 19216435
Case : 6300, Assigments : 29785749, Comparisons : 19832259
Case : 6400, Assigments : 30846384, Comparisons : 20470914
Case : 6500, Assigments : 31899915, Comparisons : 21120424
Case : 6600, Assigments : 32839338, Comparisons : 21772784
Case : 6700, Assigments : 34048638, Comparisons : 22438800
Case : 6900, Assigments : 36368412, Comparisons : 23784159
Case : 7000, Assigments : 37097448, Comparisons : 24457440
Case : 7100, Assigments : 38790318, Comparisons : 25180744
Case : 7200, Assigments : 39892539, Comparisons : 25911350
Case : 7300, Assigments : 40448328, Comparisons : 26640447
Case : 7400, Assigments : 42149904, Comparisons : 27376129
Case : 7500, Assigments : 43087350, Comparisons : 28119597
Case : 7600, Assigments : 44304366, Comparisons : 28875990
Case : 7700, Assigments : 45619506, Comparisons : 29630419
Case : 7800, Assigments : 46548066, Comparisons : 30402072
Case : 7900, Assigments : 47681841, Comparisons : 31194609
Case : 8000, Assigments : 48953700, Comparisons : 31993225
Case : 8100, Assigments : 49518891, Comparisons : 32769324
Case : 8200, Assigments : 50690130, Comparisons : 33602534
